pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class,dispatch_id,status,dispatch_date,cod,vehicle_count,vehicle
,Portage,WI,53901,,Irvington,NJ,07111,962,350,motorcycle,612ROYIN1,Delivered,06/12/2026,0,1,2023 ROYAL ENFIELD CONTINENTAL
,Pembroke Pines,FL,33332,,Rincon,GA,31326,487,300,standard,612MAZMX1,Delivered,06/12/2026,0,1,2025 MAZDA MX-5 Miata RF
,Grand Prairie,TX,75051,,La Porte,TX,77571,272,250,standard,612FORES1,Dispatched,06/12/2026,0,1,2025 Ford Escape
,Las Vegas,NV,89115,,Gardena,CA,90248,295,285,standard,612LANRA1,Delivered,06/12/2026,0,1,2019 Land Rover Range Rover Velar
,Las Vegas,NV,89115,,Gardena,CA,90248,295,275,standard,612INFQ61,Delivered,06/12/2026,0,1,2021 INFINITI Q60
,De Soto,IA,50069,,Irvington,NJ,07111,1122,590,standard,612CHRPA1,Delivered,06/12/2026,0,1,2017 Chrysler Pacifica
,Sun Valley,CA,91352,,Gardena,CA,90248,31,125,standard,612TOYMI1,Delivered,06/12/2026,0,1,2021 Toyota Mirai
,Taylor,TX,76574,,La Porte,TX,77571,175,215,standard,612BMW431,Delivered,06/12/2026,0,1,2019 BMW 4 Series Coupe
,Spanaway,WA,98387,,Gardena,CA,90248,1117,650,standard,611DODDU1,Delivered,06/11/2026,0,1,2023 Dodge Durango
,Houston,TX,77032,,La Porte,TX,77571,35,125,standard,611DODDU2,Delivered,06/11/2026,0,1,2024 Dodge Durango
,San Diego,CA,92154,,Gardena,CA,90248,137,200,standard,611VOLTI1,Delivered,06/11/2026,0,1,2024 Volkswagen Tiguan
,Carson,CA,90248,,Gardena,CA,90248,0,110,standard,611ALFGI1,Delivered,06/11/2026,0,1,2018 Alfa Romeo Giulia Quadrifoglio
,Cahokia Heights,IL,62205,,Rincon,GA,31326,790,515,standard,611DODCH1,Delivered,06/11/2026,0,1,2019 Dodge Challenger
,Phoenix,AZ,85041,,Gardena,CA,90248,380,250,standard,611MERAM1,Delivered,06/11/2026,0,1,2017 Mercedes-Benz Mercedes-AMG
,Phoenix,AZ,85041,,Gardena,CA,90248,380,250,standard,611AUDS51,Delivered,06/11/2026,0,1,2023 Audi S5 Sportback
,Homestead,FL,33032,,Rincon,GA,31326,517,400,standard,608VOLXC2,Delivered,06/11/2026,0,1,2024 Volvo XC60
,Moraine,OH,45439,,Irvington,NJ,07111,597,485,standard,608VOLXC1,Picked-Up,06/10/2026,0,1,2014 Volvo XC60
,Opa Locka,FL,33054,,Rincon,GA,31326,484,550,standard,609ROLCU1,Delivered,06/10/2026,0,1,2025 Rolls-Royce Cullinan
,Fredericksburg,VA,22408,,Irvington,NJ,07111,280,325,standard,609CHESU1,Delivered,06/10/2026,0,1,2020 Chevrolet Suburban 1500
,Chicago Heights,IL,60411,,Irvington,NJ,07111,770,530,standard,610JAGEP1,Delivered,06/10/2026,0,1,2019 Jaguar E-PACE
,Vancouver,WA,98682,,Gardena,CA,90248,996,600,standard,610DODCH1,Delivered,06/10/2026,0,1,2017 Dodge Charger
,Elgin,IL,60120,,Irvington,NJ,07111,821,510,standard,610MERCL1,Delivered,06/10/2026,0,1,2014 Mercedes-Benz CLA
,Jonesboro,LA,71251,,La Porte,TX,77571,302,1200,standard,519FORD67,Dispatched,06/10/2026,0,2,1967 FORD MUSTANG
,Acworth,GA,30101,,Rincon,GA,31326,279,275,standard,610LEXIS1,Delivered,06/10/2026,0,1,2017 Lexus IS
,Madisonville,TN,37354,,Rincon,GA,31326,392,350,standard,610FORMU1,Delivered,06/10/2026,0,1,2017 Ford Mustang
,Sacramento,CA,95828,,Gardena,CA,90248,394,325,standard,610AUDA41,Delivered,06/10/2026,0,1,2017 Audi A4 Sedan
,Seaford,DE,19973,,Irvington,NJ,07111,201,250,standard,610BMW541,Delivered,06/10/2026,0,1,2019 BMW 5 Series Sedan
,Columbus,OH,43207,,Irvington,NJ,07111,521,450,standard,609TOYGR1,Delivered,06/09/2026,0,1,2026 Toyota GR86
