pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class
IAAI Pittsburgh,Aliquippa,PA,15001,Lube Avto Shipping (Apex),Irvington,NJ,07111,386,350,standard
IAAI Baton Rouge,Carville,LA,70721,TRT International - Argus Motors,La Porte,TX,77571,273,305,standard
IAAI Baton Rouge,Carville,LA,70721,TRT International - Argus Motors,La Porte,TX,77571,273,300,standard
IAAI Chicago-South,Markham,IL,60428,Lube Avto Shipping (Apex),Irvington,NJ,07111,771,530,standard
IAAI Raleigh,Clayton,NC,27520,TRT International,Rincon,GA,31326,316,240,standard
IAAI Fremont,Fremont,CA,94538,TRT International - PACLOGISTIC,Gardena,CA,90248,366,300,standard
IAAI Dream Rides,Los Angeles,CA,91605,TRT International - PACLOGISTIC,Gardena,CA,90248,33,120,standard
Copart Martinez,Martinez,CA,94553,TRT International - PACLOGISTIC,Gardena,CA,90248,390,300,standard
Copart Elgin,Elgin,IL,60120,Lube Avto Shipping (Apex),Irvington,NJ,07111,821,500,standard
Copart Lebanon,Lebanon,TN,37090,TRT International,Rincon,GA,31326,486,350,standard
Copart Los Angeles,Van Nuys,CA,91405,TRT International - PACLOGISTIC,Gardena,CA,90248,31,120,standard
Copart Glassboro,Glassboro,NJ,08028,Lube Avto Shipping (Apex),Irvington,NJ,07111,97,180,standard
IAAI St. Louis,Caseyville,IL,62232,TRT International,Rincon,GA,31326,787,550,standard
Copart San Diego,San Diego,CA,92154,TRT International - PACLOGISTIC,Gardena,CA,90248,137,225,standard
Copart Tucson,Tucson,AZ,85706,TRT International - PACLOGISTIC,Gardena,CA,90248,496,350,standard
Copart Wilmer,Wilmer,TX,75172,TRT International - Argus Motors,La Porte,TX,77571,249,250,standard
Copart Wilmer,Wilmer,TX,75172,TRT International - Argus Motors,La Porte,TX,77571,249,250,standard
Manheim Darlington,Darlington,SC,29532,TRT International,Rincon,GA,31326,185,245,standard
Copart Mercedes,Mercedes,TX,78570,TRT International - Argus Motors,La Porte,TX,77571,361,285,standard
